id,value
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Países Bajos,0
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Panamá,951
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Paraguay,44
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Perú,344
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Puerto Rico,211
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.República Dominicana,62
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.San Cristóbal y Nieves,2
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.San Vicente y las Granadinas,6
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Santa Lucia,17
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Sudáfrica,2
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Suecia,1
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Surinam,53
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Taiwán- Provincia de China,15
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Trinidad y Tobago,262
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Uruguay,102
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Venezuela,552
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.ZFP Cucuta,0
Bogotá,289291
Bogotá. Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados,0
Bogotá. Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados.España,0
Bogotá. Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados.Japón,0
Bogotá. Café sin tostar- descafeinado,114
Bogotá. Café sin tostar- descafeinado.Chile,1
Bogotá. Café sin tostar- descafeinado.China,0
Bogotá. Café sin tostar- descafeinado.España,1
Bogotá. Café sin tostar- descafeinado.Estados Unidos,111
Bogotá. Café sin tostar- descafeinado.México,0
Bogotá. Café sin tostar- descafeinado.Reino Unido,1
Bogotá. Café sin tostar- sin descafeinar- para la siembra,710
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Australia,96
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Bélgica,80
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Corea,127
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Estados Unidos,215
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Francia,20
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Japón,133
Bogotá. Café sin tostar- sin descafeinar- para la siembra.Taiwán- Provincia de China,38
Bogotá. Café soluble liofilizado- con granulometría de 20 - 300 mm,972
Bogotá. Café soluble liofilizado- con granulometría de 20 - 300 mm.Alemania,3
Bogotá. Café soluble liofilizado- con granulometría de 20 - 300 mm.Antillas Holandesas,2
Bogotá. Café soluble liofilizado- con granulometría de 20 - 300 mm.Arabia Saudita,4
